5.51692
R, 1/R, N, J(R)
10, 0.1, 366, 5.15652
20, 0.05, 1458, 5.33619
30, 0.0333333, 3258, 5.39606
40, 0.025, 5814, 5.42648
50, 0.02, 9060, 5.4445
60, 0.0166667, 13056, 5.45662
70, 0.0142857, 17760, 5.46524
80, 0.0125, 23232, 5.47176
90, 0.0111111, 29334, 5.47675
100, 0.01, 36294, 5.48082
110, 0.00909091, 43854, 5.48409
120, 0.00833333, 52218, 5.48685
130, 0.00769231, 61326, 5.48919
140, 0.00714286, 71088, 5.49117
150, 0.00666667, 81624, 5.4929
160, 0.00625, 92844, 5.49441
170, 0.00588235, 104856, 5.49575
180, 0.00555556, 117474, 5.49693
190, 0.00526316, 130974, 5.498
200, 0.005, 145050, 5.49895
210, 0.0047619, 159978, 5.49981
220, 0.00454545, 175566, 5.5006
230, 0.00434783, 191904, 5.50131
240, 0.00416667, 208932, 5.50197
250, 0.004, 226680, 5.50257
260, 0.00384615, 245244, 5.50313
270, 0.0037037, 264378, 5.50365
280, 0.00357143, 284430, 5.50413
290, 0.00344828, 305022, 5.50458
300, 0.00333333, 326466, 5.50499
